fcode,asset_tag,src facility,dest facility,arrive date,depart date,expunge date
DC,DC15467299,"Los Alamos, NM","Washington, D.C.",1/10/17,1/10/17,
DC,DC25467300,"Los Alamos, NM","Washington, D.C.",1/10/17,1/10/17,
DC,DC25467301,"Los Alamos, NM","Washington, D.C.",1/10/17,1/10/17,
DC,DC25467302,"Los Alamos, NM","Washington, D.C.",1/10/17,1/10/17,
HQ,CA15467287,MB 005,Headquarters,1/4/17,1/7/17,
HQ,CA15467288,MB 005,Headquarters,1/4/17,1/7/17,
HQ,CA15467289,MB 005,Headquarters,1/4/17,1/7/17,
HQ,CA15467290,MB 005,Headquarters,1/4/17,1/7/17,
NC,CA15467291,Site 300,National City,1/8/17,1/8/17,12/31/20
NC,CA15467292,Site 300,National City,1/8/17,1/8/17,12/31/21
NC,CA15467293,Site 300,National City,1/8/17,1/8/17,12/31/17
NC,CA15467294,Site 300,National City,1/8/17,1/8/17,
MB005,MB2222761,,,,,12/31/19
MB006,MB2222762,,,,,12/31/19
SPNV,CA15467295,Site 300,"Sparks, NV",1/8/17,1/8/17,
SPNV,CA15467296,Site 300,"Sparks, NV",1/8/17,1/8/17,
